5 50 3C 23 0 0
5 50 B0 BC 80 0
D 51 84 D2 80 0
D 51 8C 52 0 0
5 51 96 B1 0 0
D 52 3C 4B 80 0
D 52 D3 CD 0 0
5 52 F9 98 0 0
D 53 8 61 0 0
D 53 37 B9 80 0
5 53 67 65 80 0
1D 53 F3 BE 80 0
5 54 1 A 80 0
5 54 50 91 0 0
5 54 AD BC 0 0
D 54 C5 EA 80 0
5 54 E2 43 80 0
D 55 2A E9 80 0
5 55 73 8C 80 0
D 55 8F BE 0 0
5 55 EA 87 0 0
5 56 10 39 0 0
5 56 B1 D8 0 0
5 56 BF 75 0 0
D 57 1F 0 80 0
D 57 29 4 80 0
5 57 96 27 80 0
D 58 1C DA 0 0
D 58 74 46 80 0
D 58 77 7F 80 0
5 58 7C 3D 0 0
5 59 C9 9 80 0
5 59 F0 A3 0 0
D 5A D4 87 0 0
D 5A FA 93 0 0
5 5B 5F 5F 0 0
D 5B CC 50 80 0
D 5B F1 B4 0 0
5 5C 46 81 0 0
1D 5C 7C D4 0 0
D 5D EC 9F 0 0
5 5F 5C D4 80 0
5 60 3B 67 80 0
5 60 EB 83 80 0
5 61 81 E8 80 0
1D 61 8A 9D 0 0
1D 61 A4 6A 80 0
5 61 EB 63 80 0
5 62 FC FB 80 0
D 64 3F F9 0 0
D 64 87 85 0 0
D 64 C9 C9 0 0
5 65 1A 7A 80 0
5 65 B1 B7 0 0
5 65 CE 84 0 0
D 65 EA 34 0 0
5 65 EC 9C 0 0
5 66 40 5F 0 0
5 66 49 B5 0 0
5 67 5B D 80 0
D 67 9D 6A 80 0
D 68 70 E2 0 0
5 68 86 15 0 0
D 68 95 CA 80 0
D 68 9D F2 0 0
5 68 C3 59 80 0
5 69 2F 9D 0 0
5 69 87 1E 80 0
5 6A 2E D0 0 0
5 6A 40 64 80 0
5 6A 8B 5C 80 0
5 6B B C9 0 0
5 6B 71 89 0 0
D 6C 41 23 80 0
5 6C 5C 9B 80 0
D 6C 70 73 80 0
D 6C B6 7A 80 0
D 6C CA 7 80 0
5 6C E3 45 0 0
5 6D 24 B4 0 0
5 6D 2B FD 0 0
5 6D 59 9C 0 0
5 6D 6D A4 80 0
D 6D ED 55 0 0
D 6E 4F 9D 0 0
5 6E AA 13 0 0
5 6E CE A4 80 0
5 6F 85 7C 80 0
5 6F BF 83 0 0
D 70 46 14 80 0
D 71 EC BF 0 0
5 72 4F 53 80 0
D 72 D3 9E 80 0
5 73 B6 9B 0 0
5 75 D 36 0 0
D 75 6D 67 0 0
D 75 80 BE 80 0
D 75 D3 88 0 0
5 76 33 82 0 0
5 76 40 6A 80 0
5 76 45 86 80 0
5 77 60 94 80 0
5 79 B1 79 0 0
5 7A 9 EA 80 0
D 7A 41 A 80 0
D 7A 4A E8 0 0
5 7A 91 50 0 0
5 7B 28 A6 0 0
D 7B 5D BC 80 0
5 7B 7F C4 80 0
D 7C B A9 80 0
D 7C 74 C4 0 0
5 7C CF AB 80 0
D 7C E2 7D 80 0
5 7D 89 4B 0 0
5 7D DD 51 80 0
5 7E 44 B8 0 0
5 7E 95 30 0 0
5 7F 62 35 0 0
D 7F 65 B8 80 0
D 7F BB 1D 0 0
5 7F D8 66 0 0
5 7F F9 D1 0 0
5 7F FC 68 0 0
5 80 1E 8 0 0
5 80 99 F 0 0
5 80 CC 42 80 0
5 82 15 7F 0 0
5 82 5E D0 80 0
D 82 8E F3 80 0
D 83 64 FC 0 0
5 83 88 69 0 0
5 83 93 1E 80 0
D 84 1F 12 0 0
5 84 2B FE 0 0
5 84 9B A 80 0
D 84 A7 8A 80 0
D 84 F4 72 80 0
5 85 99 59 0 0
5 85 9E 82 80 0
5 85 D0 38 80 0
5 86 5 D2 80 0
5 86 A C2 80 0
D 86 F4 97 0 0
D 87 1E E6 80 0
D 87 25 86 0 0
5 87 27 71 80 0
