5 2E 77 6E 80 0
5 2E C0 8A 80 0
5 2E DC 25 0 0
D 2E F1 D8 80 0
5 30 89 18 0 0
5 31 8 2A 0 0
5 31 22 94 0 0
5 32 3A 99 80 0
5 33 11 4F 0 0
D 33 C3 B1 0 0
5 34 16 E6 0 0
5 34 44 5D 80 0
5 35 A6 1A 80 0
D 36 8C B9 80 0
5 36 A7 FF 80 0
5 37 1A F 80 0
5 37 73 2D 80 0
5 37 A5 E5 80 0
D 37 D5 28 80 0
D 37 EB 2A 0 0
5 38 0 99 0 0
5 38 3E 78 0 0
5 38 9B 77 0 0
5 38 AD 56 80 0
5 38 E3 66 0 0
5 39 C9 5C 0 0
5 3A 14 3C 80 0
5 3A 4D 85 0 0
5 3B 4 96 80 0
5 3B 40 EF 80 0
D 3B FE BC 80 0
5 3C 5E 1B 80 0
D 3C 70 BD 0 0
D 3C AF CE 0 0
5 3C C5 75 0 0
5 3C FA 23 0 0
5 3D C8 FC 80 0
5 3E E 81 80 0
D 3E ED 32 0 0
D 3F EC B7 0 0
D 3F F2 2 0 0
5 40 63 92 0 0
D 40 86 9 80 0
5 40 B4 7F 80 0
5 42 30 C5 0 0
5 42 98 DF 0 0
5 42 AD 18 80 0
5 43 68 CB 0 0
D 43 9F 5E 0 0
5 44 9A 70 80 0
D 45 FF D5 0 0
D 46 5 A 80 0
5 48 D E1 0 0
D 48 4C A4 80 0
D 48 7D 53 0 0
D 48 7E 4 80 0
D 49 6F B3 0 0
5 49 71 F4 80 0
5 4A A9 A6 0 0
5 4A A9 BD 0 0
5 4B 1D B 0 0
5 4C 28 CE 80 0
5 4C E9 D3 0 0
5 4C F7 14 80 0
5 4D 71 54 80 0
D 4E 79 80 80 0
5 4E CC ED 80 0
5 4F 94 3 80 0
5 4F D7 10 80 0
D 4F E1 BD 0 0
5 4F E9 AE 80 0
D 50 60 88 80 0
5 51 AA C6 0 0
D 52 6A 8D 80 0
5 52 B9 3C 0 0
5 53 80 23 80 0
5 54 3F 34 80 0
5 54 43 B5 0 0
5 54 83 D0 80 0
D 54 AA F2 0 0
D 55 2D 6 0 0
5 55 89 CB 80 0
5 55 A0 15 80 0
5 56 A5 95 80 0
D 57 38 12 80 0
D 57 5F 2 80 0
5 57 85 EA 80 0
D 57 9B C8 0 0
5 58 F1 53 0 0
D 59 D7 20 0 0
5 5A 8 87 0 0
5 5A 49 23 80 0
5 5B 1B D9 80 0
5 5B 27 34 80 0
D 5B 6D 79 0 0
5 5B 95 EE 80 0
1D 5B CE 53 0 0
D 5C 47 63 80 0
5 5C 9F D 0 0
5 5D 22 93 0 0
5 5D 9E 70 80 0
D 5D D7 AC 80 0
D 5E BA E4 80 0
D 5E CF FE 80 0
D 5E E0 E1 0 0
5 5F 43 A8 0 0
5 60 B0 45 80 0
5 61 6 1C 0 0
D 61 75 F6 0 0
5 61 93 7A 0 0
D 61 B9 F0 0 0
5 61 DE 90 0 0
D 62 2A 48 0 0
5 63 70 F6 80 0
D 63 AC E5 80 0
5 64 62 59 80 0
D 64 62 8C 80 0
D 64 B0 82 80 0
5 64 F3 8B 0 0
D 64 FF C4 80 0
5 65 80 3F 0 0
5 65 96 35 80 0
5 66 40 BA 80 0
D 66 E4 AC 0 0
5 67 99 59 0 0
D 67 B3 2F 0 0
5 67 F1 51 80 0
5 68 1B B4 80 0
5 68 52 D8 80 0
D 68 AA F 80 0
5 69 C 92 80 0
5 69 B1 53 0 0
D 6A B4 C 80 0
5 6B 6F 51 0 0
5 6B C7 29 80 0
5 6C D BB 80 0
5 6C 6F 50 80 0
5 6C 7F 24 0 0
D 6C A1 D8 0 0
D 6C BA 2C 80 0
5 6C E9 DA 0 0
D 6D 67 60 80 0
5 6D 99 CC 0 0
5 6E 9 2A 80 0
5 6E 31 9A 0 0
5 6F 1E BF 80 0
D 6F 92 67 0 0
5 6F C7 37 80 0
5 6F CC EB 0 0
D 6F D1 67 80 0
D 6F E2 5B 0 0
5 70 C CA 0 0
5 70 83 F9 0 0
5 70 D9 9C 80 0
5 71 9 6A 80 0
5 71 15 D8 80 0
D 71 9E CA 80 0
5 72 58 35 0 0
D 72 D3 FB 80 0
5 73 41 4D 80 0
5 73 4D 37 0 0
D 74 EF DA 0 0
D 75 89 94 80 0
D 75 9C E2 80 0
5 76 60 74 0 0
D 76 A9 6F 80 0
5 76 D4 C9 0 0
5 77 1C 3 80 0
5 77 A5 80 80 0
5 78 53 7E 0 0
5 78 6E 12 0 0
5 79 28 AF 0 0
D 79 64 F2 0 0
5 79 9C 55 0 0
5 7A 8B 57 0 0
5 7A FC 30 0 0
5 7A FF D9 80 0
5 7B 24 A8 80 0
D 7B 30 1E 0 0
D 7B 75 7A 80 0
D 7C 88 BB 80 0
5 7C FE 5 80 0
5 7D D8 72 80 0
5 7D DF 77 0 0
5 7D EE C5 80 0
5 7E A1 E6 0 0
D 7E B4 F9 80 0
D 7F 1F F6 80 0
5 7F 28 D0 0 0
D 80 12 E7 0 0
5 80 16 43 0 0
5 80 49 27 80 0
5 80 51 6C 80 0
D 80 5A 55 0 0
5 80 C9 26 0 0
5 80 FC CD 0 0
D 81 51 D 0 0
D 81 51 9A 0 0
5 81 66 C3 0 0
5 81 6C C6 80 0
D 82 2B 83 80 0
5 82 B1 7 80 0
5 83 6F 4F 0 0
5 83 E7 EE 0 0
D 83 FB EA 80 0
D 84 B 42 0 0
5 84 56 30 0 0
5 84 62 DE 80 0
D 85 40 A6 0 0
5 85 83 7F 0 0
5 85 9D 3 80 0
D 85 B5 1F 80 0
D 86 67 D5 0 0
D 86 C3 DD 0 0
D 86 D0 DB 80 0
D 86 D1 DE 0 0
5 87 4D 44 0 0
D 87 61 EC 80 0
D 88 7F AA 80 0
D 89 8 E7 0 0
5 89 42 F8 0 0
5 8A 92 E5 80 0
5 8B C0 B1 0 0
D 8B E8 F7 80 0
5 8C 1D 75 0 0
5 8C 37 B2 0 0
5 8C AD 20 80 0
5 8C AF AA 0 0
5 8C DD 5F 0 0
