6 B 1F C5 0 0
6 B 71 CD 80 0
1E B 91 B9 0 0
1E B FA 7D 0 0
E C 44 1D 0 0
6 C 68 11 0 0
E C B5 2 80 0
E D A5 A2 0 0
6 D BA 22 0 0
6 E 1B FD 0 0
E E 20 B6 80 0
6 E 92 14 80 0
6 F D6 FF 0 0
E 11 1D 6 80 0
6 12 9D 5C 80 0
6 13 82 67 80 0
6 13 B9 73 0 0
6 14 1A 53 80 0
6 15 47 C4 0 0
6 16 94 4D 0 0
6 16 BC D8 0 0
E 17 12 5A 0 0
E 17 35 70 80 0
6 17 3A 17 0 0
6 17 C9 B7 0 0
6 17 D7 51 80 0
E 17 F4 B3 80 0
E 17 F5 EE 0 0
E 18 25 A 0 0
6 18 B7 4B 80 0
6 18 BB 22 0 0
E 1A 1E A5 0 0
6 1A 5E 1F 0 0
E 1A F6 75 80 0
6 1B 22 2A 80 0
E 1B 2D B8 80 0
E 1B A1 9B 80 0
6 1B BE 6F 0 0
E 1B D6 E2 80 0
6 1B DE 5C 0 0
6 1B F1 C 0 0
6 1D 34 AE 80 0
6 1E E 24 80 0
E 1E 97 A9 80 0
E 1F C3 2 80 0
E 20 61 8B 0 0
6 20 9A 19 80 0
6 20 A6 7C 80 0
E 20 E2 84 0 0
E 20 E6 18 0 0
6 20 F1 E8 80 0
6 21 A9 98 0 0
6 22 1D 93 80 0
E 23 AD 50 0 0
6 24 F5 53 0 0
6 25 58 52 80 0
E 25 7D 30 80 0
6 25 C1 80 0 0
6 25 CE E 80 0
6 25 DC F3 0 0
E 26 3B BC 80 0
E 26 93 65 80 0
6 26 D3 6C 80 0
E 27 2F B7 80 0
E 27 79 EB 0 0
6 28 53 B 80 0
6 28 57 5A 0 0
6 28 74 CD 80 0
6 28 9B 43 0 0
6 28 D7 AD 0 0
6 29 70 8F 0 0
6 2A 33 3F 80 0
6 2A 67 F0 0 0
E 2A DA BD 80 0
E 2B 0 DC 80 0
E 2B 1A 93 0 0
6 2B 3E 7D 80 0
6 2B 5D EF 0 0
6 2C 53 52 80 0
6 2C 63 3D 0 0
E 2C E9 B7 80 0
E 2D AA 3D 80 0
E 2E 12 27 80 0
E 2E C1 9A 0 0
6 2F E4 5F 80 0
6 30 4C 30 80 0
E 30 72 59 80 0
6 30 9B 95 80 0
E 30 A2 27 80 0
6 31 5E 56 80 0
6 31 C4 B2 80 0
6 31 E8 AE 80 0
E 32 9A F5 0 0
6 32 C8 AA 80 0
6 32 CF 44 0 0
E 32 DD 70 80 0
E 32 E7 69 80 0
E 32 F6 DC 80 0
6 33 93 F5 80 0
6 33 B2 82 0 0
6 33 E3 1A 80 0
E 33 F1 5F 80 0
E 33 F6 48 80 0
6 34 C 6A 0 0
E 34 34 B0 80 0
6 34 D8 59 80 0
6 36 62 32 80 0
6 36 6A 8E 80 0
E 37 19 E2 0 0
E 37 EA AC 80 0
6 38 4 3E 80 0
6 38 C7 D7 0 0
E 38 D6 C4 80 0
6 3A 5B 56 0 0
6 3A A4 A6 0 0
E 3A B1 33 0 0
E 3B 45 D3 80 0
6 3B D3 5A 0 0
E 3C 86 BC 80 0
E 3C AC 86 80 0
6 3D 8C 18 80 0
6 3D DC C1 0 0
6 3E 16 CD 0 0
6 3E F4 B9 80 0
6 3F 60 A5 0 0
6 3F 98 C 80 0
E 40 1E DA 0 0
E 40 65 88 80 0
6 40 88 5A 0 0
E 40 F5 F0 80 0
6 41 72 95 80 0
E 41 AF F0 0 0
E 42 45 74 80 0
6 42 59 99 0 0
E 42 F9 93 80 0
E 43 52 A6 0 0
E 43 A4 AC 0 0
E 44 63 CB 0 0
E 45 65 72 0 0
E 45 7F 4B 0 0
E 46 1B 73 80 0
6 46 58 6F 80 0
6 46 F2 47 80 0
6 47 2D 34 80 0
6 47 C3 C5 80 0
6 48 16 98 0 0
6 49 1B D8 80 0
6 49 28 F7 0 0
