7 64 20 72 80 0
F 64 48 CC 0 0
7 64 6A 33 0 0
7 65 19 8 0 0
F 65 A5 CB 80 0
7 65 A9 13 80 0
F 65 DE 98 80 0
7 66 2F 1C 0 0
7 68 6F 3B 80 0
F 68 C1 C2 80 0
F 68 FF 95 80 0
F 69 17 2F 0 0
F 69 8A 64 0 0
7 69 DE 2B 0 0
7 6B 12 72 0 0
F 6B 76 DF 80 0
F 6B E3 89 0 0
F 6B E4 98 80 0
7 6D 87 67 80 0
7 6D 9F F8 80 0
7 6D EA 3F 0 0
7 6E C2 46 0 0
F 6E FB 9D 0 0
7 6F B4 33 0 0
7 6F C7 5E 80 0
F 6F F7 2 80 0
7 70 19 C6 80 0
F 70 46 51 80 0
7 70 5B 20 0 0
7 70 C0 BB 80 0
F 70 EF D9 80 0
7 71 19 C3 80 0
7 71 1A 84 80 0
7 71 47 39 0 0
F 71 7F 15 0 0
7 71 9B BC 0 0
7 71 C7 49 0 0
7 71 F5 12 80 0
7 72 3B 7E 0 0
7 72 8D C8 80 0
F 72 C1 5C 80 0
F 74 25 EA 0 0
7 74 8F 79 0 0
1F 74 B0 E7 0 0
7 74 D5 2C 80 0
F 74 FB 62 80 0
1F 76 66 B6 80 0
F 76 7E 4E 80 0
F 76 9B 25 0 0
7 76 CD 6 80 0
7 76 F6 56 0 0
7 77 1E 89 80 0
F 77 5D CF 80 0
F 77 FB D5 80 0
F 78 67 A7 0 0
7 78 82 3D 0 0
7 79 8C A 80 0
7 79 F1 A7 80 0
7 7A 4E 45 80 0
7 7A C7 F8 80 0
7 7B 46 D7 80 0
F 7B 58 2A 80 0
F 7B B3 4A 80 0
7 7B E9 E2 80 0
F 7C 52 B3 0 0
7 7C 56 C 80 0
7 7D 7C E9 80 0
F 7E 16 CF 80 0
7 7E 1D 6C 80 0
7 7E 21 6C 80 0
7 7E 30 E6 80 0
7 7E CB 6D 0 0
7 7F 57 A7 80 0
F 7F 61 F0 80 0
7 7F E1 F 80 0
7 7F FE 5E 0 0
7 80 7 F5 80 0
7 80 31 2C 80 0
1F 81 F3 51 80 0
F 82 62 58 0 0
7 82 64 7F 0 0
7 83 89 B0 0 0
7 83 9A 29 80 0
F 83 AC 23 80 0
F 84 37 18 0 0
F 84 4A FE 80 0
7 84 50 7 80 0
7 84 90 95 80 0
7 84 E6 75 80 0
7 85 6C B1 0 0
7 86 54 56 0 0
F 87 38 30 80 0
