5 A3 67 68 80 0
5 A3 6A B 80 0
D A3 A4 AF 0 0
5 A3 B5 CA 0 0
5 A3 FD CB 80 0
5 A5 5F E7 0 0
D A5 76 4A 80 0
5 A5 BB A4 0 0
5 A5 C5 7E 80 0
5 A5 CA D1 0 0
5 A6 1F E 0 0
5 A6 56 3B 80 0
5 A7 4A EE 0 0
5 A7 74 A0 0 0
5 A7 9F D2 80 0
5 A8 58 98 0 0
5 A9 7A 54 80 0
5 A9 AB 25 80 0
5 AA 6E CE 0 0
5 AA AD D0 80 0
D AA C3 3A 80 0
5 AB 20 D9 80 0
5 AB 5D E1 80 0
5 AB 63 6A 80 0
5 AB 98 58 0 0
5 AB B5 A8 0 0
D AB E9 BD 0 0
5 AC C C4 80 0
5 AC B8 24 0 0
5 AD 51 10 80 0
5 AD CF 90 80 0
D AE 7B D2 0 0
D AE C1 8F 80 0
5 AF 3 31 80 0
D B0 60 E6 80 0
D B0 9B B4 0 0
D B0 C7 EF 0 0
5 B1 53 4A 0 0
5 B2 C8 66 80 0
D B3 1A 14 80 0
D B3 C4 8E 80 0
5 B4 FB 55 80 0
5 B5 A 4A 80 0
D B5 29 92 0 0
5 B5 DB FE 0 0
5 B5 F7 DC 0 0
D B6 70 97 80 0
D B6 AC 5C 0 0
5 B7 78 84 0 0
D B8 5 B4 80 0
5 B8 41 F1 0 0
5 B8 FB 8 0 0
5 B9 1 B8 0 0
D B9 A 83 0 0
5 B9 71 86 80 0
5 B9 CF 30 80 0
5 BA 22 BB 80 0
D BA AB AA 0 0
5 BA AE 1B 0 0
5 BB 69 1 0 0
D BB E6 2C 0 0
D BC 33 67 0 0
5 BC 85 8B 0 0
5 BC 99 4A 80 0
5 BC CD B0 80 0
5 BC E1 49 80 0
5 BC FA D5 0 0
D BD 20 52 80 0
5 BD 47 3D 0 0
D BE 33 2F 0 0
D BE 66 FE 80 0
D BE 69 BF 0 0
5 BE A8 FD 80 0
5 BF B6 7F 0 0
5 BF C9 C6 80 0
5 BF DC 67 80 0
1D C0 6B 3C 80 0
5 C0 EB 7 0 0
5 C2 14 CE 0 0
5 C2 CA 8C 0 0
5 C2 E8 E8 0 0
5 C3 2D E 80 0
5 C3 3F D5 80 0
5 C3 BF 68 80 0
5 C4 D9 9C 80 0
5 C5 F 81 80 0
D C5 11 3F 80 0
D C5 3B 8F 0 0
D C5 D6 8B 0 0
5 C6 AF 4E 80 0
D C7 2C EF 0 0
D C7 4C 54 0 0
5 C7 BE 9A 80 0
D C8 A 68 80 0
D C8 9E 30 80 0
D C9 30 D 80 0
1D C9 49 97 0 0
5 C9 58 8F 80 0
5 CA 2 2A 0 0
5 CA 20 55 0 0
5 CA BA 98 80 0
5 CA F1 55 80 0
5 CB 32 6 0 0
D CC DC E1 80 0
5 CD 56 E 0 0
5 CD 88 44 80 0
5 CD AA 8F 0 0
5 CE BE FD 80 0
D CE CF 38 80 0
5 CF 89 18 80 0
5 D0 5E C9 80 0
D D0 87 74 80 0
5 D2 45 26 80 0
5 D2 68 2E 80 0
D D2 ED B 0 0
5 D3 15 78 80 0
D D3 70 AA 0 0
5 D3 A0 9D 80 0
5 D3 CE 76 0 0
5 D4 B D3 0 0
D D4 D0 EB 0 0
D D5 48 1 80 0
D D5 A6 A1 80 0
D D6 4 60 80 0
5 D6 E F6 0 0
D D6 14 49 0 0
D D6 B8 31 0 0
D D7 57 51 80 0
5 D7 63 7 80 0
D D8 98 E7 0 0
5 D8 9D E2 0 0
5 D8 E4 14 80 0
5 D8 E6 50 80 0
1D D8 F5 6E 0 0
1D D9 2 BF 80 0
5 D9 8 58 80 0
5 D9 6F 8C 0 0
5 DA BB 66 80 0
D DA CA 87 80 0
5 DA D6 65 0 0
D DB D1 B7 0 0
D DC A5 86 0 0
D DD 3E 85 80 0
D DD A0 C3 80 0
D DD C3 E7 0 0
5 DF 22 81 80 0
5 DF DF 95 80 0
D E0 12 A4 0 0
5 E1 27 83 0 0
D E1 CB 87 80 0
5 E2 0 EE 0 0
5 E2 1B 4A 0 0
D E3 20 E0 0 0
5 E3 75 B9 0 0
D E4 2D 88 0 0
5 E4 C5 C7 80 0
5 E4 C8 FE 0 0
5 E5 A CB 80 0
5 E5 10 AC 0 0
