6 61 1C 5A 0 0
6 61 9D 16 80 0
6 62 18 A8 80 0
E 62 76 3F 80 0
6 63 15 87 0 0
6 63 37 46 0 0
6 63 A5 D 0 0
E 64 D9 24 80 0
6 65 C DC 80 0
6 65 24 97 80 0
6 65 5D D1 80 0
6 65 85 73 80 0
6 65 C0 19 0 0
6 67 38 F2 0 0
6 67 61 C4 0 0
6 67 DC 23 80 0
6 68 4C 9 80 0
6 68 5D 9B 80 0
6 69 0 49 0 0
E 69 32 83 80 0
6 69 34 53 80 0
6 69 34 6F 80 0
E 69 D7 1E 80 0
6 69 DC E4 80 0
6 69 E2 11 0 0
E 6A BE 76 80 0
6 6B 2D 58 80 0
6 6C E6 AA 80 0
E 6D 13 25 0 0
6 6D 2B 8A 0 0
6 6D C1 D 0 0
6 6F 31 79 0 0
E 70 5E F3 80 0
6 71 73 4F 0 0
E 71 9B 82 0 0
E 71 A7 7B 0 0
E 72 2B 9A 80 0
6 72 33 D3 0 0
6 72 49 D 0 0
E 74 5 84 0 0
E 74 90 8D 0 0
6 74 94 68 80 0
6 75 2 22 0 0
E 75 16 69 0 0
6 76 4D AF 0 0
6 76 4E EA 80 0
E 76 9A 24 0 0
6 78 35 B6 80 0
6 78 7D 1B 80 0
6 78 BC 49 0 0
6 79 3D 4A 80 0
E 7A 64 D2 80 0
E 7B 27 69 0 0
6 7C 4D 97 0 0
E 7E EB D1 0 0
E 7F D 3A 0 0
6 7F 28 C 80 0
6 7F D4 44 0 0
E 80 3 2D 0 0
E 80 37 6B 80 0
E 80 BB B 80 0
6 81 52 DB 80 0
6 82 A 5A 80 0
6 82 3D 76 80 0
6 82 4D A6 0 0
6 82 50 AC 80 0
E 83 40 7 80 0
E 83 40 EB 80 0
6 83 53 4F 80 0
6 83 60 C6 80 0
6 83 97 41 0 0
6 83 A7 DC 0 0
6 83 DD 7 80 0
6 85 3B 64 80 0
6 85 46 1E 0 0
6 85 C3 EA 80 0
E 86 8B 4C 80 0
6 87 6D 22 0 0
6 88 30 6B 80 0
6 88 70 27 0 0
E 88 75 C 0 0
E 88 83 3F 0 0
6 88 FF 26 80 0
E 89 6B 76 0 0
6 8A 1A 9E 0 0
6 8A 7B 2C 0 0
6 8A 9A 18 80 0
6 8A BF 5B 0 0
E 8B 2E EE 80 0
6 8B 6E 92 80 0
6 8B FC 28 0 0
6 8C 3 F3 80 0
6 8C B3 6A 0 0
E 8D 32 95 80 0
6 8D 67 83 80 0
6 8D D3 47 0 0
6 8E 10 F4 80 0
6 8E 22 F8 80 0
6 8E 30 C1 0 0
6 8E E8 C2 0 0
E 8E E9 2E 0 0
E 8F 1E 10 80 0
E 8F 53 DA 80 0
6 8F 57 8 80 0
E 8F CA 6B 0 0
E 8F FE 25 0 0
6 90 92 A9 80 0
6 90 A3 80 0 0
6 90 D2 D3 80 0
6 91 57 C9 80 0
E 91 B1 F1 0 0
E 93 30 F1 80 0
6 94 6C 10 0 0
6 94 E0 4A 0 0
6 95 5D 10 80 0
E 96 19 E1 80 0
E 96 9A AD 0 0
E 96 F2 FB 0 0
6 97 13 FE 0 0
E 97 84 F5 80 0
E 98 D FB 0 0
E 98 3D E0 0 0
E 98 F8 9A 80 0
E 99 28 34 80 0
6 99 B5 38 0 0
6 99 E8 40 0 0
E 99 FE 3F 0 0
6 9A 2 62 80 0
6 9A 6 4B 80 0
6 9A 82 BC 0 0
6 9A DB 48 0 0
E 9B 17 D6 80 0
6 9B 1E 4 80 0
E 9B 2B 2B 80 0
6 9B 78 9E 80 0
6 9B B0 4 0 0
6 9B E4 18 80 0
6 9C 1E 66 0 0
6 9C 8E BA 80 0
6 9C 9D DB 0 0
6 9C C4 2E 80 0
6 9C D2 2B 0 0
E 9D C9 75 80 0
6 9E 69 3D 0 0
E 9E 7C 68 80 0
6 9F 15 FB 0 0
E A0 22 50 80 0
6 A0 E6 BA 0 0
6 A1 2 1D 0 0
6 A1 DB 5E 0 0
6 A2 96 AE 0 0
6 A2 A8 79 80 0
6 A3 4C DA 0 0
6 A3 5E E9 0 0
6 A3 DA 7C 80 0
6 A4 13 3B 80 0
E A4 BF AC 80 0
1E A4 CD 35 80 0
6 A4 EB 66 80 0
6 A6 2E 30 0 0
6 A6 95 90 80 0
6 A7 36 84 0 0
6 A7 78 89 0 0
E A7 83 FC 80 0
6 A7 F1 4B 80 0
6 A7 FB 68 80 0
6 A8 4E B3 80 0
6 A8 61 7 0 0
E A9 46 C4 80 0
E AA 63 28 80 0
E AA 67 75 80 0
6 AB 58 43 80 0
6 AB 60 F6 0 0
E AB 9D DD 80 0
6 AB DF 60 80 0
E AC 87 E9 0 0
E AC D7 32 0 0
6 AD 33 29 80 0
6 AD 41 38 0 0
E AF 24 DC 0 0
