6 EE F FC 80 0
6 EE 2A 79 80 0
E EE 2B FB 0 0
E EE 5A 25 0 0
E EE 74 7F 0 0
E EE A8 60 80 0
6 EE B6 25 80 0
6 EE EE D8 80 0
6 EE F3 EB 80 0
6 EF 77 77 80 0
6 EF AE 8F 0 0
E F0 31 E9 80 0
6 F0 3A F1 0 0
6 F0 3B 87 0 0
6 F0 72 2E 80 0
6 F1 1E F7 0 0
E F1 9F 15 0 0
E F1 A5 BA 0 0
6 F1 CD E8 0 0
6 F1 E8 C0 0 0
6 F2 3B 7B 80 0
6 F2 60 EF 80 0
6 F2 69 C0 80 0
6 F3 6C D 0 0
6 F3 C9 CF 0 0
6 F3 F7 BE 0 0
6 F5 BC FD 80 0
E F6 5B 4D 80 0
6 F6 5E 8E 0 0
6 F6 78 62 80 0
6 F6 B0 31 0 0
6 F6 DF 2E 0 0
6 F6 F2 C1 0 0
E F7 1E 53 0 0
E F7 63 6A 0 0
6 F7 C8 B9 80 0
E F7 D4 9F 0 0
6 F8 A BD 80 0
6 F8 21 CC 80 0
6 F8 51 4F 0 0
6 F8 6C 90 80 0
6 F8 8E DC 80 0
6 F8 A6 98 0 0
E F8 DD FB 80 0
E F9 8B 25 80 0
6 F9 DF 10 0 0
6 FA B 76 80 0
6 FB 42 7 80 0
6 FC F F9 80 0
6 FC 89 8A 0 0
E FD A B0 80 0
E FD 17 57 0 0
E FE 1B D8 80 0
6 FE 96 BE 80 0
6 FF 3A 72 80 0
6 FF 3D 90 80 0
E FF FA F2 0 0
F 0 84 28 0 0
7 1 44 24 80 0
F 1 65 F 80 0
F 1 AB 4D 80 0
7 1 F0 17 80 0
7 2 FA 7C 80 0
F 3 F9 D8 0 0
7 5 5 6B 80 0
7 5 5F 84 0 0
7 6 C4 99 80 0
7 7 4B EB 0 0
7 7 66 C 80 0
7 8 E4 5F 80 0
F 8 E6 39 80 0
F 8 EF D 80 0
7 9 58 2A 80 0
F A C2 D 80 0
7 A C3 F5 80 0
7 B 54 1D 80 0
7 B A5 35 0 0
7 C 6D 5E 80 0
7 C 88 95 0 0
7 C A8 D8 0 0
F D 82 FD 80 0
F D FF 87 0 0
7 E 58 54 0 0
F E E4 20 0 0
7 E EF A0 80 0
7 F AA 81 80 0
7 F D4 4E 80 0
7 10 23 92 80 0
7 10 4F 82 0 0
7 10 53 9D 80 0
7 10 DB C1 80 0
F 10 EB 75 0 0
7 11 4A 8 80 0
F 11 65 E2 80 0
7 11 8F F0 0 0
7 11 DD 9F 0 0
7 12 6D 60 80 0
F 12 97 88 80 0
