4 95 5B AB 0 0
C 95 5F E4 0 0
4 95 CA A9 80 0
C 96 21 82 80 0
4 96 9F 50 0 0
4 97 6 AC 0 0
4 97 37 AF 0 0
4 97 47 CB 0 0
4 98 37 10 0 0
C 98 69 A2 80 0
4 98 D9 EB 0 0
4 99 1F 85 80 0
4 99 9C 65 0 0
C 99 A6 C5 0 0
C 99 B6 C1 0 0
4 99 D6 61 0 0
4 99 E0 46 80 0
C 9A E9 C4 80 0
4 9A F0 89 0 0
4 9B 5B 9B 0 0
4 9B D8 72 80 0
4 9C 7 66 0 0
C 9C 54 9F 80 0
4 9C 64 29 80 0
4 9D 25 DB 0 0
4 9D 80 5 80 0
4 9D B6 E8 0 0
4 9E 16 49 0 0
C 9E 2D 43 80 0
4 9E 8C B2 0 0
C 9E BF D4 0 0
4 9E C5 45 80 0
C 9F 15 14 80 0
4 9F 24 A7 80 0
4 9F 6B BE 80 0
C A0 68 1E 0 0
4 A0 79 25 0 0
4 A0 94 8A 0 0
4 A0 D2 94 0 0
4 A1 D 7A 0 0
C A1 AE 7D 0 0
4 A2 AE CA 0 0
4 A2 FD 19 0 0
4 A2 FD 6D 0 0
C A3 33 4D 0 0
4 A3 67 99 80 0
4 A3 F8 8F 0 0
C A3 FF 46 80 0
4 A4 75 35 0 0
C A4 81 C1 0 0
4 A4 E3 57 80 0
4 A5 5B F0 0 0
4 A5 88 E5 80 0
C A6 40 D6 0 0
4 A7 5C 3A 80 0
4 A7 C7 51 80 0
4 A7 CC 45 80 0
C A8 28 A7 0 0
C A8 7C 27 80 0
4 A8 BC CC 80 0
C A9 3E 75 0 0
4 A9 82 9B 0 0
4 A9 F3 8C 80 0
4 AA 25 CE 80 0
4 AA 4C C1 80 0
C AA 73 E9 80 0
4 AB 39 26 80 0
4 AB 9C 68 80 0
4 AC 20 D 0 0
4 AC 38 38 80 0
4 AD 1F 43 80 0
C AD B1 3A 0 0
C AE 39 DC 0 0
4 AE B4 BD 80 0
C AE C1 A4 80 0
C AF 5F C 0 0
C AF 99 87 80 0
4 AF 9E B 0 0
C B0 26 BF 80 0
4 B0 53 3B 0 0
4 B1 96 20 0 0
C B2 6E D1 0 0
C B2 CB E2 0 0
4 B3 16 6A 80 0
C B3 17 B1 0 0
4 B3 9E 2 0 0
4 B3 9F E4 80 0
4 B3 B1 C0 80 0
4 B4 37 4B 80 0
4 B5 38 F4 0 0
4 B5 84 51 0 0
4 B5 A1 13 0 0
C B6 11 F6 0 0
4 B6 1B EC 80 0
C B6 70 F6 0 0
C B6 99 4A 0 0
4 B6 B0 1A 0 0
4 B6 ED E8 80 0
C B7 E B4 80 0
4 B7 32 BB 80 0
4 B7 34 A7 0 0
C B7 52 C4 0 0
4 B7 8A 41 0 0
4 B7 8B 4C 80 0
4 B7 D0 EE 80 0
C B8 1A E 80 0
4 B8 2A 99 80 0
C B8 7D 48 80 0
C B9 10 23 80 0
4 B9 77 A7 80 0
4 B9 8F 21 80 0
4 BA B7 58 0 0
4 BA E5 45 0 0
4 BB A 1F 0 0
4 BB 81 8C 80 0
4 BB CE E5 0 0
C BC 5A E0 0 0
4 BC B4 82 80 0
C BC D6 9B 0 0
4 BC FE CA 80 0
4 BD DB D1 80 0
4 BE 74 53 80 0
4 BE 78 B4 0 0
C BE 7A BA 80 0
4 BE C6 35 0 0
4 BF 1E 47 80 0
4 BF 51 89 80 0
4 BF 7F 1 0 0
C C0 1D DD 0 0
4 C0 D9 E8 0 0
C C1 80 1A 0 0
C C2 2D 41 80 0
C C2 A8 10 0 0
4 C3 A4 9B 0 0
4 C4 18 A6 80 0
C C4 3D DC 0 0
C C4 6B 8F 0 0
4 C5 4F FC 80 0
C C5 E6 81 80 0
4 C5 F0 A3 0 0
C C6 0 E2 0 0
4 C6 5 6C 80 0
C C6 74 B3 0 0
4 C6 75 28 0 0
4 C6 D8 1B 80 0
4 C7 8 97 0 0
4 C7 29 AF 0 0
4 C7 30 6E 80 0
C C7 60 A0 0 0
4 C7 CA A0 0 0
4 C8 1E 8B 0 0
4 C8 3C 9 80 0
4 C8 BE 3D 80 0
C C9 2B F9 80 0
4 CA 5 4B 0 0
C CB D 16 80 0
4 CB 7B 18 0 0
4 CC 41 21 80 0
C CC 4E 29 0 0
4 CD 93 7F 80 0
4 CD BF EC 80 0
4 CD E1 37 0 0
4 CE 69 66 0 0
4 CE FB 7D 80 0
C CF 31 C2 80 0
4 CF 54 5E 0 0
C CF CC F 80 0
4 CF F1 9A 0 0
C D0 11 BB 80 0
C D0 25 FD 0 0
4 D0 56 D1 80 0
4 D0 7D C3 0 0
4 D0 A2 D7 80 0
4 D0 DE F7 80 0
C D0 E8 23 0 0
C D1 3 38 0 0
C D1 8 64 0 0
C D2 5A A 0 0
4 D2 92 B1 0 0
C D2 A8 D7 80 0
4 D4 0 CA 0 0
C D4 13 8F 80 0
4 D4 33 FF 0 0
4 D4 89 8C 80 0
4 D5 48 9A 0 0
C D5 8F 4B 80 0
C D5 D3 48 0 0
1C D6 67 74 0 0
C D6 6A 49 0 0
4 D6 E8 5F 80 0
4 D8 25 2E 80 0
C D8 9D 6B 80 0
4 D8 F6 6C 0 0
4 D9 12 85 80 0
4 D9 58 D6 0 0
C D9 5D 7D 80 0
C D9 B5 98 0 0
4 DA 6C 8E 0 0
4 DA 6E 34 0 0
C DA 80 FB 0 0
C DB 5C 5B 0 0
4 DC 99 AE 80 0
4 DC A1 26 0 0
C DC CA 16 80 0
C DD 1A 81 80 0
C DD 24 C1 80 0
4 DD 6E F1 80 0
4 DE 66 EA 0 0
C DE 89 2E 0 0
4 DE 9C D9 80 0
C DE F0 44 80 0
4 DE F0 98 0 0
C DF 8F 97 80 0
4 E0 A7 58 80 0
1C E0 EE A7 0 0
4 E0 F7 51 80 0
4 E0 FA 18 80 0
4 E2 1E F7 0 0
4 E2 B9 ED 80 0
4 E3 A5 9E 0 0
C E3 DF 15 0 0
C E6 12 E0 0 0
4 E6 6F 20 80 0
C E6 B7 C1 0 0
C E6 C1 41 0 0
C E6 E3 A4 80 0
C E7 5F 9A 0 0
C E7 98 F4 0 0
C E7 D8 2C 0 0
C E8 6F 89 80 0
4 E8 9A BA 0 0
C E8 A2 A7 0 0
4 E8 A2 E5 80 0
4 E8 A3 BE 80 0
C E8 FC 8C 80 0
C E9 D8 9F 80 0
4 EA 6C 31 0 0
4 EA DA 45 0 0
C EC 19 3E 80 0
4 EC 88 78 0 0
4 ED 88 F1 80 0
4 ED EC D1 80 0
4 ED FF 3B 80 0
C EE 88 67 0 0
4 EE FA EB 80 0
4 EF 7 44 0 0
C EF 13 60 0 0
C EF 6A 74 80 0
4 F0 80 9 0 0
4 F0 C1 7B 80 0
4 F1 2 5B 80 0
4 F1 90 F6 0 0
4 F1 B7 A7 0 0
4 F2 7 7C 80 0
4 F2 61 C6 80 0
4 F2 69 14 80 0
4 F3 6D 9 80 0
C F3 95 87 0 0
4 F4 5 66 80 0
4 F4 E1 E9 80 0
